rating	title	text	sentiment
4	Should have ended in Season 2	"Well, the writers and producers outdone themselves. They started with a good idea, intriguing characters and an elaborate plot. By the end of season 2 it became apparent they could not drag this anymore. Season 3 was just a ""remake"" of season 1 but, my God, season 4 is an awful soap opera...seems almost like a ""filler"" season...no actual plot, no actual action...you could skip straight to episode 7 if u want and still..you wouldnt miss a thing. Hire better writers, because this cast is impeccable."	0
1	The more seasons it got, the worse it became	First and second parts were great. 3rd was ok, 4th worse. 5th won a 1 star from me. The forth and backs of the characters made it a very bad series.	0
3	Bid good bye to common sense..	The more u watch it.. the dumber it gets.. idea of the plot is good. Direction is just like a soap opera.	0
3	I don't get the hype	With a 100% positive critics rating on Rotten Tomatoes and with many of my friends going crazy for it, my opition might not be very popular. But I find La Casa de Papel (Money Heist) to be utterly ridiculous, overly melodramatic and just plain stupid.	0
4	and we thought stormtroopers were bad	No matter how hard they try with the story, it's impossible to sit there and not burst out laughing or cringe at every scene with guns. They should just take as much of the shooting aspect out of this show as possible because nothing's funnier than seeing 10 people shoot with unlimited magazines/bullets and missing every single shot. I just can't take this show seriously.	0
1	ROBBED MY TIME AND INTELLECT	Professor what are we robbing in season 3-4-5? Professor: People Will think we are robbing the bank of Spain, However wee are actually going to rob the viewers of their time, we will insult their intellect with every scene and episode, make them cringe and want to kill themselves with unnecessary gay drama, show them some of the most unrealistic action the world has seen. And that way we will rob them of their time. THE BIGGEST HEIST IN MANKID!!!!!	0
3	Unnecessary seasons	This series should have ended in season 2, season 3 and 4 totally unnecessary	0
4	dont be fooled by the ratings	This is a soap opera, looks like a smart tv show but it's a latin soap opera and you watch it like that(50% brain turned off, the logic part)	0
1	# Free Palestine	Another season another crap ,Zionists and Criminal support, shame on you and wate of time .	0
2	What a waste of time!!	I really dont get it, what do these high ratings see in this series. This is the most dumbest heist i have ever seen. You plan something for years, you train people for months and then what? During the heist they fight among themselves? Forced soap opera level drama in a heist story. Dumbest series ever!	0
1	Heist -- it's over rated----- don't watch & waste time	Writers are stretching story. In chaos, they acting more chaotic with their personal relationship & what entry Arturo Roman planned in season 4. Why to use copy who is having medical conditions. I felt bad for Spain people how they see this & is it military or police so dumb in Spain.....it's very boring by giving name money heist....you guys were showing daily soap relationship fights half of the time. & Freaking phyco people were plan to rob.........	0
2	Painfully Bad	I have never been more confused by a high rating for a show. Not a single part of it is well executed. The acting is not good, the writing is much much worse. None of the characters behave remotely like real people.... it's a mess. It's basically looney toons robbing a bank, but somehow very sad and excruciatingly boring.	0
1	Shame!!	Shame on you to support the occupiers, Spanish people are known with their support to freedom of people!!	0
1	Hypocritical message	Claim to support the oppressed and downtrodden yet they openly support the Zionist occupation of the Palestinians.	0
3	One of the dumbest show I have ever seen in my life.	"Is Spanish police/administration this dumb as shown in the series then 'god help them'. From the logic behind the robbery that ""we are not stealing from people but just printing our own money"" is also one of the dumbest logic applied in the history of heist movies/series. Have they even heard of a word ""inflation""?. I wasted my 10- 15 hrs watching season 1 and 2. If you are a guy/girl who watches lot of quality movies/series then please don't waste you time on this."	0
1	The most illogical & exaggerated show of all times!	Money Heist is a stupidly organized heist in which amateur thiefs deal with dumb police with so much of melodrama blended with nonsense events! It's nothing but a bigger version of daily soap TV serials! I don't get it why it is that much high rated but this is a pure waste of your intellectual & time!	0
1	Makes no sense.	Yea what a waste of time. The professor has time to go on dates during a robbery? Sad series.	0
3	Overrated	These guys call themselves revolutionaries, but all they did is to rob banks and live a luxurious life with the money they stole from state, Real REVOLUTIONARIES are people who put their life at risk for the opposed and poor, these guys are not revolutionaries, they are just murderers and bank robbers. And this show is just over glorification of crime and bank robbers	0
10	One of the best I've seen!	This has been a real treat! An amazing series, great acting, direction and such a suspenseful story it's really one of the very best I've seen ever. I love heist movies and I just found this one in Netflix and I literally couldn't stop watching through the night. The characters are simply amazing! Don't miss this!	1
9	Awesome	I found this Spanish TV series by chance, I really recommend you watch it. It's one of the best series that I have seen lately. A chess game between the police and the robbers, you will be surprised by its development. You can not foresee anything. (I hope that my review is correct, I'm not a native speaker)	1
1	Shame	Shame of you supporting Israel, that occupied Palestine area and migrate people keep killing kids and occupied women.	0
10	One of the best series I've seen in a while	Fast paced. Action. Great acting. Ingenious plot. This show is perfect. 10/10 for me	1
1	The IMDb rating does not correspond reality	It sounded promising but after just a few episodes it lost it. Everything about this is very bad. Don't wast your time. I'm hate watching it just because my ocd won't let me stop.	0
4	Overrated	"Most overrated show i ever see!!

stupid acting, nonsense events"	0
10	Truly excellent	Congratulations to the actors, director, writer and anyone who made this season of episodes possible. Every episode had it's gripping and human slow moments, such a wonderful balance. Couldn't wait to see the next episode. Each one had surprises, no standard script, which is so enjoyable. The actors played so well, better than many of the better known Hollywood names. Hope the next season is coming up soon.	1
3	This should have ended on season 2	The story is tiringly repetitive Creativity was lost in the last 2 seasons because the story was complete but then netflix decided to order more Just let it be over It became junk-food television	0
9	Loved the first two seasons	Loved the series, actors were perfect fit for each role and they make you root for them. It both has drama from the heist and romantic part to it. In my opinion season 3 and 4 didn't meet the expectations after the first two. It feels kinda forced because everybody was so obsessed when it came out on Netflix that it kills all the good from the first two seasons. If you can watch the first two season and you will end up loving it to the top.	1
3	Overrated Nonsense	I watched about 4 episode of this before giving up. The premise was good but it all quickly descended into farce.	0
9	Extremely Good	Could not stop watching this series. What an excellent set of actors fully into their roles in a natural way. Refreshing storyline unlike most other movies or series about bank robberies. Can't wait for season two	1
2	Poo	Over-acting from every single idiotic character who all do idiotic things for reasons unfathomable to any normal functioning human on the face of the earth. I couldn't handle more than 3 episodes of the first season. That is a chunk of my life I'll never get back! Save yourself and avoid.	0
8	Pretty Entertaining!	I've heard about how good Money Heist is since it started back in 2017 but for some reason I put off watching it. I finally gave in and started watching it recently and now I can't stop, it's every bit as good as everyone says it is. The writing and acting are both excellent, there are so many twists and surprises that it will keep you on the edge of your seat and guessing throughout the entire series! Just a little warning...once you start watching it it's hard to stop, you'll want to binge it as quickly as possible!	1
1	Overrated	Maybe for viewers that just started watching films and TV Shows.	0
1	Worst worst worst	This show is so much overrated and european people are making so much hype of this show	0
